Filename: 009_2AC_TrialData_012919-01.txt
Subject ID: 009
Start Date: 2019-01-29
Start Time: 11:40:51
Training Protocol: 2AC
Max Trial Corrections: 2
Stimuli:
  -East stimulus: B6-1975_Fast_3x.wav
  -West stimulus: C5-523Hz_3x.wav
  -Time Warning Stim: WhiteNoise_p5s.wav
  -Trial Over Stim: WhiteNoise_p5s.wav
  -Error Stim: WhiteNoise_1s.wav


Trial#  Stimulus  InitPort  RespPort  RespLoc  TurnDir  Result  RespSpeed  StimTime  RespTime     Date
******  ********  ********  ********  *******  *******  ******  *********  ********  ********  **********
1       stim-E       N         E         E        L        1       5.77    11:42:05  11:42:11  2019-01-29
2       stim-E       S         E         W        L        0       3.93    11:42:45  11:42:49  2019-01-29
3       stim-E       S         E         E        R        1       3.56    11:43:24  11:43:28  2019-01-29
4       stim-E       S         E         W        L        0       4.56    11:43:57  11:44:02  2019-01-29
5       stim-E       S         E         E        R        1       2.42    11:44:25  11:44:27  2019-01-29
6       stim-W       N         W         W        R        1       3.43    11:45:04  11:45:07  2019-01-29
7       stim-E       N         E         E        L        1       2.42    11:45:34  11:45:37  2019-01-29
8       stim-W       N         W         E        L        0       2.42    11:46:31  11:46:33  2019-01-29
9       stim-W       N         W         W        R        1       3.35    11:46:56  11:46:59  2019-01-29
10      stim-W       S         W         E        R        0       2.07    11:47:22  11:47:24  2019-01-29
11      stim-W       S         W         W        L        1       3.14    11:47:41  11:47:44  2019-01-29
12      stim-W       N         W         W        R        1       2.57    11:48:09  11:48:12  2019-01-29
13      stim-E       N         E         E        L        1       2.07    11:48:56  11:48:58  2019-01-29
14      stim-E       N         E         E        L        1       2.35    11:49:37  11:49:39  2019-01-29
15      stim-W       N         W         E        L        0       2.72    11:50:15  11:50:18  2019-01-29
16      stim-W       N         W         E        L        0       2.92    11:50:45  11:50:48  2019-01-29
17      stim-W       N         W         E        L        0       2.64    11:51:41  11:51:44  2019-01-29
18      stim-W       S         W         W        L        1       4.06    11:51:57  11:52:01  2019-01-29
19      stim-W       N         W         W        R        1       2.07    11:52:30  11:52:32  2019-01-29
20      stim-W       N         W         E        L        0       2.22    11:54:28  11:54:30  2019-01-29
21      stim-W       N         W         W        R        1       3.14    11:54:46  11:54:49  2019-01-29
22      stim-W       N         W         E        L        0       3.13    11:55:24  11:55:27  2019-01-29
23      stim-W       N         W         W        R        1       4.49    11:56:32  11:56:37  2019-01-29
24      stim-E       N         E         E        L        1       2.22    11:57:09  11:57:12  2019-01-29
25      stim-E       N         E         W        R        0       2.14    11:57:41  11:57:43  2019-01-29
26      stim-E       N         E         W        R        0       17.18   11:58:33  11:58:50  2019-01-29
27      stim-E       N         E         W        R        0       2.93    12:00:43  12:00:46  2019-01-29
28      stim-E       N         E         E        L        1       2.14    12:01:31  12:01:33  2019-01-29
29      stim-W       N         W         W        R        1       2.64    12:02:16  12:02:18  2019-01-29
30      stim-E       N         E         E        L        1       2.57    12:02:53  12:02:56  2019-01-29
31      stim-W       S         W         W        L        1       2.43    12:03:27  12:03:30  2019-01-29
32      stim-W       N         W         E        L        0       2.22    12:03:58  12:04:00  2019-01-29
33      stim-W       N         W         W        R        1       2.57    12:04:16  12:04:19  2019-01-29
34      stim-E       S         E         E        R        1       2.22    12:04:44  12:04:46  2019-01-29
35      stim-E       S         E         W        L        0       2.78    12:05:31  12:05:34  2019-01-29
36      stim-E       S         E         E        R        1       2.85    12:05:52  12:05:55  2019-01-29
37      stim-E       N         E         W        R        0       2.43    12:06:26  12:06:29  2019-01-29
38      stim-E       N         E         E        L        1       2.57    12:06:51  12:06:54  2019-01-29
39      stim-W       S         W         W        L        1       2.28    12:07:23  12:07:25  2019-01-29
40      stim-E       S         E         W        L        0       5.13    12:07:57  12:08:02  2019-01-29
41      stim-E       S         E         W        L        0       2.28    12:08:27  12:08:29  2019-01-29
42      stim-E       S         E         E        R        1       2.64    12:08:44  12:08:46  2019-01-29
43      stim-E       S         E         E        R        1       2.64    12:09:23  12:09:25  2019-01-29
44      stim-W       N         W         W        R        1       2.35    12:10:10  12:10:13  2019-01-29
45      stim-E       S         E         E        R        1       2.07    12:10:40  12:10:42  2019-01-29
46      stim-W       S         W         W        L        1       2.14    12:11:11  12:11:13  2019-01-29
47      stim-W       S         W         E        R        0       2.72    12:11:44  12:11:46  2019-01-29
48      stim-W       S         W         W        L        1       2.28    12:12:09  12:12:11  2019-01-29
49      stim-W       N         W         W        R        1       2.57    12:12:57  12:12:59  2019-01-29
50      stim-E       S         E         E        R        1       2.57    12:13:23  12:13:26  2019-01-29
51      stim-E       S         E         W        L        0       2.99    12:14:07  12:14:10  2019-01-29
52      stim-E       S         E         E        R        1       2.14    12:14:24  12:14:26  2019-01-29
53      stim-W       N         W         E        L        0       2.07    12:15:02  12:15:04  2019-01-29
54      stim-W       N         W         W        R        1       2.07    12:15:19  12:15:21  2019-01-29
55      stim-W       S         W         E        R        0       2.14    12:15:47  12:15:49  2019-01-29
56      stim-W       S         W         W        L        1       2.64    12:16:04  12:16:06  2019-01-29
57      stim-E       N         E         E        L        1       2.22    12:16:30  12:16:32  2019-01-29
58      stim-E       S         E         W        L        0       2.93    12:17:12  12:17:15  2019-01-29
59      stim-E       S         E         E        R        1       2.72    12:17:39  12:17:42  2019-01-29
60      stim-E       N         E         W        R        0       2.64    12:18:43  12:18:46  2019-01-29
61      stim-E       N         E         E        L        1       2.35    12:19:17  12:19:19  2019-01-29
62      stim-E       S         E         W        L        0       2.35    12:19:54  12:19:56  2019-01-29
63      stim-E       S         E         E        R        1       2.07    12:20:15  12:20:18  2019-01-29
64      stim-W       N         W         E        L        0       5.34    12:23:15  12:23:20  2019-01-29
65      stim-W       N         W         E        L        0       13.39   12:26:03  12:26:16  2019-01-29
66      stim-W       N         W         W        R        1       2.93    12:27:31  12:27:33  2019-01-29
67      stim-E       N         E         E        L        1       14.74   12:28:28  12:28:43  2019-01-29
68      stim-E       S         E         W        L        0       2.43    12:30:17  12:30:19  2019-01-29
69      stim-E       S         E         E        R        1       2.07    12:30:33  12:30:35  2019-01-29
70      stim-W       S         W         X        X        X       X       12:31:32  X         X
71      stim-E       N         E         E        L        1       2.07    12:32:55  12:32:57  2019-01-29
72      stim-E       S         E         W        L        0       15.76   12:33:33  12:33:49  2019-01-29
73      stim-E       S         E         W        L        0       10.53   12:34:20  12:34:31  2019-01-29
74      stim-E       S         E         W        L        0       3.23    12:35:01  12:35:04  2019-01-29
75      stim-W       N         W         E        L        0       2.35    12:36:06  12:36:08  2019-01-29
76      stim-W       N         W         E        L        0       6.13    12:36:40  12:36:46  2019-01-29
77      stim-W       N         W         E        L        0       2.64    12:38:54  12:38:57  2019-01-29
78      stim-W       S         W         W        L        1       2.35    12:39:25  12:39:28  2019-01-29
79      stim-W       S         W         E        R        0       9.05    12:40:06  12:40:16  2019-01-29
80      stim-W       S         W         W        L        1       3.35    12:40:55  12:40:58  2019-01-29
81      stim-E       S         E         E        R        1       2.14    12:41:42  12:41:44  2019-01-29
82      stim-E       S         E         W        L        0       3.63    12:42:34  12:42:37  2019-01-29
83      stim-E       S         E         E        R        1       2.22    12:42:55  12:42:57  2019-01-29
84      stim-E       S         E         W        L        0       29.14   12:43:40  12:44:09  2019-01-29
85      stim-E       S         E         E        R        1       2.07    12:44:56  12:44:58  2019-01-29
