Filename: 014_Shape03_2-PortTrials_TrialData_030619-03.txt
Subject ID: 014
Start Date: 2019-03-06
Start Time: 13:58:54
Training Protocol: Shape03_2-PortTrials


Trial#	InitPort   InitTime	RespPort   RespTime	   Date
******	********  ***********	********  ***********	**********
  1	   S	  14:00:02	   E	  14:00:24	2019-03-06
  2	   S	  14:01:43	   E	       X		X
  3	   N	  14:03:37	   W	  14:03:50	2019-03-06
  4	   S	  14:04:23	   W	  14:04:33	2019-03-06
  5	   N	  14:05:21	   W	  14:05:46	2019-03-06
  6	   N	  14:06:57	   E	  14:07:05	2019-03-06
  7	   N	  14:10:39	   E	  14:10:55	2019-03-06
  8	   S	  14:12:54	   E	  14:13:10	2019-03-06
  9	   S	  14:13:44	   W	       X		X
  10	   S	  14:17:47	   W	  14:18:03	2019-03-06
  11	   S	  14:19:20	   E	  14:19:35	2019-03-06
  12	   S	  14:20:13	   W	       X		X
  13	   N	  14:21:56	   E	  14:22:11	2019-03-06
  14	   S	  14:25:47	   W	  14:26:02	2019-03-06
  15	   N	  14:26:29	   W	  14:26:49	2019-03-06
  16	   S	  14:27:50	   W	  14:27:59	2019-03-06
  17	   S	  14:28:22	   E	  14:28:31	2019-03-06
  18	   N	  14:28:52	   W	  14:29:04	2019-03-06
  19	   S	  14:29:33	   W	  14:29:43	2019-03-06
  20	   S	  14:30:13	   E	  14:30:24	2019-03-06
  21	   N	  14:30:45	   E	  14:30:56	2019-03-06
  22	   S	  14:31:48	   E	  14:31:58	2019-03-06
  23	   S	  14:34:16	   E	  14:34:24	2019-03-06
  24	   N	  14:34:50	   E	  14:35:03	2019-03-06
  25	   N	  14:35:26	   E	       X		X
  26	   S	  14:44:00	   E	  14:44:05	2019-03-06
  27	   N	  14:44:46	   E	  14:45:14	2019-03-06
